,sd
83260,"{'WALTERBAADE|ALMAMATER|UNIVERSITYOFGOTTINGEN', '1036GANYMED|DISCOVERER|WALTERBAADE', 'WALTERBAADE|DOCTORALSTUDENT|HALTONARP', 'WALTERBAADE|DEATHPLACE|WESTGERMANY'}"
83262,"{'WALTERBAADE|ALMAMATER|UNIVERSITYOFGOTTINGEN', '1036GANYMED|DISCOVERER|WALTERBAADE', 'WALTERBAADE|DOCTORALSTUDENT|HALTONARP', 'WALTERBAADE|DEATHPLACE|WESTGERMANY'}"
83264,"{'103HERA|DISCOVERER|JAMESCRAIGWATSON', 'JAMESCRAIGWATSON|DEATHPLACE|MADISON,WISCONSIN', 'JAMESCRAIGWATSON|ALMAMATER|UNIVERSITYOFMICHIGAN', 'JAMESCRAIGWATSON|DEATHCAUSE|PERITONITIS'}"
83266,"{'103HERA|DISCOVERER|JAMESCRAIGWATSON', 'JAMESCRAIGWATSON|DEATHPLACE|MADISON,WISCONSIN', 'JAMESCRAIGWATSON|ALMAMATER|UNIVERSITYOFMICHIGAN', 'JAMESCRAIGWATSON|DEATHCAUSE|PERITONITIS'}"
83268,"{'103HERA|DISCOVERER|JAMESCRAIGWATSON', 'JAMESCRAIGWATSON|DEATHPLACE|MADISON,WISCONSIN', 'JAMESCRAIGWATSON|ALMAMATER|UNIVERSITYOFMICHIGAN', 'JAMESCRAIGWATSON|DEATHCAUSE|PERITONITIS'}"
83270,"{'103HERA|APOAPSIS|437170000.0(KILOMETRES)', '103HERA|DISCOVERER|JAMESCRAIGWATSON', 'JAMESCRAIGWATSON|NATIONALITY|CANADA', 'JAMESCRAIGWATSON|DEATHPLACE|MADISON,WISCONSIN'}"
83272,"{'103HERA|APOAPSIS|437170000.0(KILOMETRES)', '103HERA|DISCOVERER|JAMESCRAIGWATSON', 'JAMESCRAIGWATSON|NATIONALITY|CANADA', 'JAMESCRAIGWATSON|DEATHPLACE|MADISON,WISCONSIN'}"
83274,"{'103HERA|APOAPSIS|437170000.0(KILOMETRES)', '103HERA|DISCOVERER|JAMESCRAIGWATSON', 'JAMESCRAIGWATSON|NATIONALITY|CANADA', 'JAMESCRAIGWATSON|DEATHPLACE|MADISON,WISCONSIN'}"
83276,"{'107CAMILLA|DISCOVERER|N.R.POGSON', 'N.R.POGSON|DEATHPLACE|CHENNAI', 'N.R.POGSON|BIRTHPLACE|NOTTINGHAM', '107CAMILLA|PERIAPSIS|479343000.0(KILOMETRES)'}"
83278,"{'107CAMILLA|DISCOVERER|N.R.POGSON', 'N.R.POGSON|DEATHPLACE|CHENNAI', 'N.R.POGSON|BIRTHPLACE|NOTTINGHAM', '107CAMILLA|PERIAPSIS|479343000.0(KILOMETRES)'}"
83280,"{'107CAMILLA|DISCOVERER|N.R.POGSON', 'N.R.POGSON|DEATHPLACE|CHENNAI', 'N.R.POGSON|BIRTHPLACE|NOTTINGHAM', '107CAMILLA|PERIAPSIS|479343000.0(KILOMETRES)'}"
83282,"{'1089TAMA|FORMERNAME|A894VAA904VD', '1089TAMA|EPOCH|2005-11-26', '1089TAMA|PERIAPSIS|288749000000.0', '1089TAMA|ORBITALPERIOD|1202.846(DAYS)'}"
83284,"{'1089TAMA|FORMERNAME|A894VAA904VD', '1089TAMA|EPOCH|2005-11-26', '1089TAMA|PERIAPSIS|288749000000.0', '1089TAMA|ORBITALPERIOD|1202.846(DAYS)'}"
83286,"{'1089TAMA|FORMERNAME|A894VAA904VD', '1089TAMA|EPOCH|2005-11-26', '1089TAMA|PERIAPSIS|288749000000.0', '1089TAMA|ORBITALPERIOD|1202.846(DAYS)'}"
83288,"{'1089TAMA|ESCAPEVELOCITY|0.0068(KILOMETREPERSECONDS)', '1089TAMA|EPOCH|2005-11-26', '1089TAMA|ORBITALPERIOD|1202.846(DAYS)', '1089TAMA|APOAPSIS|373513000.0(KILOMETRES)'}"
83290,"{'1089TAMA|ESCAPEVELOCITY|0.0068(KILOMETREPERSECONDS)', '1089TAMA|EPOCH|2005-11-26', '1089TAMA|ORBITALPERIOD|1202.846(DAYS)', '1089TAMA|APOAPSIS|373513000.0(KILOMETRES)'}"
83292,"{'1089TAMA|ESCAPEVELOCITY|0.0068(KILOMETREPERSECONDS)', '1089TAMA|EPOCH|2005-11-26', '1089TAMA|ORBITALPERIOD|1202.846(DAYS)', '1089TAMA|APOAPSIS|373513000.0(KILOMETRES)'}"
83294,"{'1097VICIA|MASS|9.8(KILOGRAMS)', '1097VICIA|ORBITALPERIOD|135589000.0', '1097VICIA|APOAPSIS|511592000.0(KILOMETRES)', '1097VICIA|EPOCH|2006-12-31'}"
83296,"{'1097VICIA|MASS|9.8(KILOGRAMS)', '1097VICIA|ORBITALPERIOD|135589000.0', '1097VICIA|APOAPSIS|511592000.0(KILOMETRES)', '1097VICIA|EPOCH|2006-12-31'}"
83298,"{'1097VICIA|MASS|9.8(KILOGRAMS)', '1097VICIA|ORBITALPERIOD|135589000.0', '1097VICIA|APOAPSIS|511592000.0(KILOMETRES)', '1097VICIA|EPOCH|2006-12-31'}"
83300,"{'109FELICITAS|EPOCH|2006-12-31', '109FELICITAS|ESCAPEVELOCITY|0.0473(KILOMETREPERSECONDS)', '109FELICITAS|ORBITALPERIOD|139705000.0', '109FELICITAS|PERIAPSIS|283326000000.0'}"
83302,"{'109FELICITAS|EPOCH|2006-12-31', '109FELICITAS|ESCAPEVELOCITY|0.0473(KILOMETREPERSECONDS)', '109FELICITAS|ORBITALPERIOD|139705000.0', '109FELICITAS|PERIAPSIS|283326000000.0'}"
83304,"{'109FELICITAS|EPOCH|2006-12-31', '109FELICITAS|ESCAPEVELOCITY|0.0473(KILOMETREPERSECONDS)', '109FELICITAS|ORBITALPERIOD|139705000.0', '109FELICITAS|PERIAPSIS|283326000000.0'}"
83306,"{'10HYGIEA|PERIAPSIS|416136000000.0', '10HYGIEA|EPOCH|2015-06-27', '10HYGIEA|FORMERNAME|A900GA', '10HYGIEA|ORBITALPERIOD|5.57(DAYS)'}"
83308,"{'10HYGIEA|PERIAPSIS|416136000000.0', '10HYGIEA|EPOCH|2015-06-27', '10HYGIEA|FORMERNAME|A900GA', '10HYGIEA|ORBITALPERIOD|5.57(DAYS)'}"
83310,"{'10HYGIEA|PERIAPSIS|416136000000.0', '10HYGIEA|EPOCH|2015-06-27', '10HYGIEA|FORMERNAME|A900GA', '10HYGIEA|ORBITALPERIOD|5.57(DAYS)'}"
83312,"{'1101CLEMATIS|ORBITALPERIOD|183309000.0', '1101CLEMATIS|EPOCH|2006-12-31', '1101CLEMATIS|APOAPSIS|520906000.0(KILOMETRES)', '1101CLEMATIS|ESCAPEVELOCITY|0.02(KILOMETREPERSECONDS)'}"
83314,"{'1101CLEMATIS|ORBITALPERIOD|183309000.0', '1101CLEMATIS|EPOCH|2006-12-31', '1101CLEMATIS|APOAPSIS|520906000.0(KILOMETRES)', '1101CLEMATIS|ESCAPEVELOCITY|0.02(KILOMETREPERSECONDS)'}"
83316,"{'1101CLEMATIS|FORMERNAME|1928SJ', '1101CLEMATIS|EPOCH|2006-12-31', '1101CLEMATIS|ORBITALPERIOD|183309000.0', '1101CLEMATIS|PERIAPSIS|445895000000.0'}"
83318,"{'1101CLEMATIS|FORMERNAME|1928SJ', '1101CLEMATIS|EPOCH|2006-12-31', '1101CLEMATIS|ORBITALPERIOD|183309000.0', '1101CLEMATIS|PERIAPSIS|445895000000.0'}"
83320,"{'1101CLEMATIS|FORMERNAME|1928SJ', '1101CLEMATIS|EPOCH|2006-12-31', '1101CLEMATIS|ORBITALPERIOD|183309000.0', '1101CLEMATIS|PERIAPSIS|445895000000.0'}"
83322,"{'1101CLEMATIS|ORBITALPERIOD|183309000.0', '1101CLEMATIS|PERIAPSIS|445895000000.0', '1101CLEMATIS|EPOCH|2006-12-31', '1101CLEMATIS|ESCAPEVELOCITY|0.02(KILOMETREPERSECONDS)'}"
83324,"{'1101CLEMATIS|ORBITALPERIOD|183309000.0', '1101CLEMATIS|PERIAPSIS|445895000000.0', '1101CLEMATIS|EPOCH|2006-12-31', '1101CLEMATIS|ESCAPEVELOCITY|0.02(KILOMETREPERSECONDS)'}"
83326,"{'UNITEDSTATES|LANGUAGE|ENGLISHLANGUAGE', 'ALBANY,GEORGIA|COUNTRY|UNITEDSTATES', 'ALBANY,GEORGIA|ISPARTOF|GEORGIA(U.S.STATE)', 'UNITEDSTATES|ETHNICGROUP|NATIVEAMERICANSINTHEUNITEDSTATES'}"
83328,"{'UNITEDSTATES|LANGUAGE|ENGLISHLANGUAGE', 'ALBANY,GEORGIA|COUNTRY|UNITEDSTATES', 'ALBANY,GEORGIA|ISPARTOF|GEORGIA(U.S.STATE)', 'UNITEDSTATES|ETHNICGROUP|NATIVEAMERICANSINTHEUNITEDSTATES'}"
83330,"{'UNITEDSTATES|LANGUAGE|ENGLISHLANGUAGE', 'ALBANY,GEORGIA|COUNTRY|UNITEDSTATES', 'ALBANY,GEORGIA|ISPARTOF|GEORGIA(U.S.STATE)', 'UNITEDSTATES|ETHNICGROUP|NATIVEAMERICANSINTHEUNITEDSTATES'}"
83332,"{'ALPHARETTA,GEORGIA|ISPARTOF|FULTONCOUNTY,GEORGIA', 'ALPHARETTA,GEORGIA|COUNTRY|UNITEDSTATES', 'FULTONCOUNTY,GEORGIA|COUNTYSEAT|ATLANTA', 'ALPHARETTA,GEORGIA|ISPARTOF|GEORGIA(U.S.STATE)'}"
83334,"{'ALPHARETTA,GEORGIA|ISPARTOF|FULTONCOUNTY,GEORGIA', 'ALPHARETTA,GEORGIA|COUNTRY|UNITEDSTATES', 'FULTONCOUNTY,GEORGIA|COUNTYSEAT|ATLANTA', 'ALPHARETTA,GEORGIA|ISPARTOF|GEORGIA(U.S.STATE)'}"
83336,"{'AMARILLO,TEXAS|ISPARTOF|POTTERCOUNTY,TEXAS', 'POTTERCOUNTY,TEXAS|COUNTRY|UNITEDSTATES', 'UNITEDSTATES|CAPITAL|WASHINGTON,D.C.', 'UNITEDSTATES|ETHNICGROUP|AFRICANAMERICANS'}"
83338,"{'AMARILLO,TEXAS|ISPARTOF|POTTERCOUNTY,TEXAS', 'POTTERCOUNTY,TEXAS|COUNTRY|UNITEDSTATES', 'UNITEDSTATES|CAPITAL|WASHINGTON,D.C.', 'UNITEDSTATES|ETHNICGROUP|AFRICANAMERICANS'}"
83340,"{'AMARILLO,TEXAS|ISPARTOF|POTTERCOUNTY,TEXAS', 'POTTERCOUNTY,TEXAS|COUNTRY|UNITEDSTATES', 'UNITEDSTATES|CAPITAL|WASHINGTON,D.C.', 'UNITEDSTATES|ETHNICGROUP|AFRICANAMERICANS'}"
83342,"{'ANAHEIM,CALIFORNIA|ISPARTOF|CALIFORNIA', 'ANAHEIM,CALIFORNIA|LEADERTITLE|CALIFORNIASTATEASSEMBLY', 'CALIFORNIA|LANGUAGE|SPANISHLANGUAGE', 'CALIFORNIASTATEASSEMBLY|LOCATION|CALIFORNIASTATECAPITOL'}"
83344,"{'ANAHEIM,CALIFORNIA|ISPARTOF|CALIFORNIA', 'ANAHEIM,CALIFORNIA|LEADERTITLE|CALIFORNIASTATEASSEMBLY', 'CALIFORNIA|LANGUAGE|SPANISHLANGUAGE', 'CALIFORNIASTATEASSEMBLY|LOCATION|CALIFORNIASTATECAPITOL'}"
83346,"{'ANAHEIM,CALIFORNIA|ISPARTOF|CALIFORNIA', 'ANAHEIM,CALIFORNIA|LEADERTITLE|CALIFORNIASTATEASSEMBLY', 'CALIFORNIA|LANGUAGE|SPANISHLANGUAGE', 'CALIFORNIASTATEASSEMBLY|LOCATION|CALIFORNIASTATECAPITOL'}"
83348,"{'UNITEDSTATES|ETHNICGROUP|NATIVEAMERICANSINTHEUNITEDSTATES', 'ANGOLA,INDIANA|COUNTRY|UNITEDSTATES', 'UNITEDSTATES|DEMONYM|AMERICANS', 'ANGOLA,INDIANA|ISPARTOF|INDIANA'}"
83350,"{'UNITEDSTATES|ETHNICGROUP|NATIVEAMERICANSINTHEUNITEDSTATES', 'ANGOLA,INDIANA|COUNTRY|UNITEDSTATES', 'UNITEDSTATES|DEMONYM|AMERICANS', 'ANGOLA,INDIANA|ISPARTOF|INDIANA'}"
83352,"{'UNITEDSTATES|ETHNICGROUP|NATIVEAMERICANSINTHEUNITEDSTATES', 'ANGOLA,INDIANA|COUNTRY|UNITEDSTATES', 'UNITEDSTATES|DEMONYM|AMERICANS', 'ANGOLA,INDIANA|ISPARTOF|INDIANA'}"
83354,"{'ATLANTICCITY,NEWJERSEY|LEADERTITLE|MAYORSOFATLANTICCITY,NEWJERSEY', 'ATLANTICCITY,NEWJERSEY|AREATOTAL|44.125(SQUAREKILOMETRES)', 'ATLANTICCITY,NEWJERSEY|POPULATIONDENSITY|1421.2(INHABITANTSPERSQUAREKILOMETRE)', 'ATLANTICCITY,NEWJERSEY|AREACODE|609'}"
83356,"{'ATLANTICCITY,NEWJERSEY|LEADERTITLE|MAYORSOFATLANTICCITY,NEWJERSEY', 'ATLANTICCITY,NEWJERSEY|AREATOTAL|44.125(SQUAREKILOMETRES)', 'ATLANTICCITY,NEWJERSEY|POPULATIONDENSITY|1421.2(INHABITANTSPERSQUAREKILOMETRE)', 'ATLANTICCITY,NEWJERSEY|AREACODE|609'}"
83358,"{'ATLANTICCITY,NEWJERSEY|LEADERTITLE|MAYORSOFATLANTICCITY,NEWJERSEY', 'ATLANTICCITY,NEWJERSEY|AREATOTAL|44.125(SQUAREKILOMETRES)', 'ATLANTICCITY,NEWJERSEY|POPULATIONDENSITY|1421.2(INHABITANTSPERSQUAREKILOMETRE)', 'ATLANTICCITY,NEWJERSEY|AREACODE|609'}"
83360,"{'UNITEDSTATES|ETHNICGROUP|ASIANAMERICANS', 'LEECOUNTY,ALABAMA|STATE|ALABAMA', 'AUBURN,ALABAMA|COUNTRY|UNITEDSTATES', 'AUBURN,ALABAMA|ISPARTOF|LEECOUNTY,ALABAMA'}"
83362,"{'UNITEDSTATES|ETHNICGROUP|ASIANAMERICANS', 'LEECOUNTY,ALABAMA|STATE|ALABAMA', 'AUBURN,ALABAMA|COUNTRY|UNITEDSTATES', 'AUBURN,ALABAMA|ISPARTOF|LEECOUNTY,ALABAMA'}"
83364,"{'UNITEDSTATES|ETHNICGROUP|ASIANAMERICANS', 'LEECOUNTY,ALABAMA|STATE|ALABAMA', 'AUBURN,ALABAMA|COUNTRY|UNITEDSTATES', 'AUBURN,ALABAMA|ISPARTOF|LEECOUNTY,ALABAMA'}"
83366,"{'UNITEDSTATES|ETHNICGROUP|AFRICANAMERICANS', 'LEECOUNTY,ALABAMA|STATE|ALABAMA', 'AUBURN,ALABAMA|ISPARTOF|LEECOUNTY,ALABAMA', 'LEECOUNTY,ALABAMA|COUNTRY|UNITEDSTATES'}"
83368,"{'UNITEDSTATES|ETHNICGROUP|AFRICANAMERICANS', 'LEECOUNTY,ALABAMA|STATE|ALABAMA', 'AUBURN,ALABAMA|ISPARTOF|LEECOUNTY,ALABAMA', 'LEECOUNTY,ALABAMA|COUNTRY|UNITEDSTATES'}"
83370,"{'UNITEDSTATES|ETHNICGROUP|AFRICANAMERICANS', 'LEECOUNTY,ALABAMA|STATE|ALABAMA', 'AUBURN,ALABAMA|ISPARTOF|LEECOUNTY,ALABAMA', 'LEECOUNTY,ALABAMA|COUNTRY|UNITEDSTATES'}"
83372,"{'LEECOUNTY,ALABAMA|COUNTYSEAT|OPELIKA,ALABAMA', 'AUBURN,ALABAMA|ISPARTOF|ALABAMA', 'AUBURN,ALABAMA|COUNTRY|UNITEDSTATES', 'AUBURN,ALABAMA|ISPARTOF|LEECOUNTY,ALABAMA'}"
83374,"{'LEECOUNTY,ALABAMA|COUNTYSEAT|OPELIKA,ALABAMA', 'AUBURN,ALABAMA|ISPARTOF|ALABAMA', 'AUBURN,ALABAMA|COUNTRY|UNITEDSTATES', 'AUBURN,ALABAMA|ISPARTOF|LEECOUNTY,ALABAMA'}"
83376,"{'LEECOUNTY,ALABAMA|COUNTYSEAT|OPELIKA,ALABAMA', 'AUBURN,ALABAMA|ISPARTOF|ALABAMA', 'AUBURN,ALABAMA|COUNTRY|UNITEDSTATES', 'AUBURN,ALABAMA|ISPARTOF|LEECOUNTY,ALABAMA'}"
83378,"{'AUBURN,WASHINGTON|ISPARTOF|KINGCOUNTY,WASHINGTON', 'AUBURN,WASHINGTON|COUNTRY|UNITEDSTATES', 'UNITEDSTATES|CAPITAL|WASHINGTON,D.C.', 'AUBURN,WASHINGTON|ISPARTOF|WASHINGTON(STATE)'}"
83380,"{'AUBURN,WASHINGTON|ISPARTOF|KINGCOUNTY,WASHINGTON', 'AUBURN,WASHINGTON|COUNTRY|UNITEDSTATES', 'UNITEDSTATES|CAPITAL|WASHINGTON,D.C.', 'AUBURN,WASHINGTON|ISPARTOF|WASHINGTON(STATE)'}"
83382,"{'AUBURN,WASHINGTON|ISPARTOF|KINGCOUNTY,WASHINGTON', 'AUBURN,WASHINGTON|COUNTRY|UNITEDSTATES', 'UNITEDSTATES|CAPITAL|WASHINGTON,D.C.', 'AUBURN,WASHINGTON|ISPARTOF|WASHINGTON(STATE)'}"
83384,"{'AUSTIN,TEXAS|ISPARTOF|WILLIAMSONCOUNTY,TEXAS', 'WILLIAMSONCOUNTY,TEXAS|COUNTYSEAT|GEORGETOWN,TEXAS', 'AUSTIN,TEXAS|ISPARTOF|TEXAS', 'TEXAS|LARGESTCITY|HOUSTON'}"
83386,"{'AUSTIN,TEXAS|ISPARTOF|WILLIAMSONCOUNTY,TEXAS', 'WILLIAMSONCOUNTY,TEXAS|COUNTYSEAT|GEORGETOWN,TEXAS', 'AUSTIN,TEXAS|ISPARTOF|TEXAS', 'TEXAS|LARGESTCITY|HOUSTON'}"
83388,"{'AUSTIN,TEXAS|ISPARTOF|WILLIAMSONCOUNTY,TEXAS', 'WILLIAMSONCOUNTY,TEXAS|COUNTYSEAT|GEORGETOWN,TEXAS', 'AUSTIN,TEXAS|ISPARTOF|TEXAS', 'TEXAS|LARGESTCITY|HOUSTON'}"
83390,"{'HAYSCOUNTY,TEXAS|COUNTYSEAT|SANMARCOS,TEXAS', 'AUSTIN,TEXAS|ISPARTOF|HAYSCOUNTY,TEXAS', 'AUSTIN,TEXAS|ISPARTOF|TEXAS', 'TEXAS|LARGESTCITY|HOUSTON'}"
83392,"{'HAYSCOUNTY,TEXAS|COUNTYSEAT|SANMARCOS,TEXAS', 'AUSTIN,TEXAS|ISPARTOF|HAYSCOUNTY,TEXAS', 'AUSTIN,TEXAS|ISPARTOF|TEXAS', 'TEXAS|LARGESTCITY|HOUSTON'}"
83394,"{'HAYSCOUNTY,TEXAS|COUNTYSEAT|SANMARCOS,TEXAS', 'AUSTIN,TEXAS|ISPARTOF|HAYSCOUNTY,TEXAS', 'AUSTIN,TEXAS|ISPARTOF|TEXAS', 'TEXAS|LARGESTCITY|HOUSTON'}"
83396,"{'INDIANA|CAPITAL|INDIANAPOLIS', 'ANDERSON,INDIANA|ISPARTOF|ADAMS,FALLCREEK,LAFAYETTE,RICHLAND,UNION', 'ANDERSON,INDIANA|ISPARTOF|INDIANA', 'INDIANA|COUNTRY|UNITEDSTATES'}"
83398,"{'INDIANA|CAPITAL|INDIANAPOLIS', 'ANDERSON,INDIANA|ISPARTOF|ADAMS,FALLCREEK,LAFAYETTE,RICHLAND,UNION', 'ANDERSON,INDIANA|ISPARTOF|INDIANA', 'INDIANA|COUNTRY|UNITEDSTATES'}"
83400,"{'INDIANA|CAPITAL|INDIANAPOLIS', 'ANDERSON,INDIANA|ISPARTOF|ADAMS,FALLCREEK,LAFAYETTE,RICHLAND,UNION', 'ANDERSON,INDIANA|ISPARTOF|INDIANA', 'INDIANA|COUNTRY|UNITEDSTATES'}"
83402,"{'INDIANA|CAPITAL|INDIANAPOLIS', 'ANDERSON,INDIANA|ISPARTOF|INDIANA', 'LAFAYETTETOWNSHIP,MADISONCOUNTY,INDIANA|COUNTRY|UNITEDSTATES', 'ANDERSON,INDIANA|ISPARTOF|LAFAYETTETOWNSHIP,MADISONCOUNTY,INDIANA'}"
83404,"{'INDIANA|CAPITAL|INDIANAPOLIS', 'ANDERSON,INDIANA|ISPARTOF|INDIANA', 'LAFAYETTETOWNSHIP,MADISONCOUNTY,INDIANA|COUNTRY|UNITEDSTATES', 'ANDERSON,INDIANA|ISPARTOF|LAFAYETTETOWNSHIP,MADISONCOUNTY,INDIANA'}"
83406,"{'INDIANA|CAPITAL|INDIANAPOLIS', 'ANDERSON,INDIANA|ISPARTOF|INDIANA', 'LAFAYETTETOWNSHIP,MADISONCOUNTY,INDIANA|COUNTRY|UNITEDSTATES', 'ANDERSON,INDIANA|ISPARTOF|LAFAYETTETOWNSHIP,MADISONCOUNTY,INDIANA'}"
83408,"{'ARLINGTON,TEXAS|ISPARTOF|TEXAS', 'TEXAS|LANGUAGE|ENGLISHLANGUAGE', 'TEXAS|COUNTRY|UNITEDSTATES', 'TEXAS|LARGESTCITY|HOUSTON'}"
83410,"{'ARLINGTON,TEXAS|ISPARTOF|TEXAS', 'TEXAS|LANGUAGE|ENGLISHLANGUAGE', 'TEXAS|COUNTRY|UNITEDSTATES', 'TEXAS|LARGESTCITY|HOUSTON'}"
83412,"{'ALBANY,OREGON|COUNTRY|UNITEDSTATES', 'ALBANY,OREGON|ISPARTOF|BENTONCOUNTY,OREGON', 'UNITEDSTATES|CAPITAL|WASHINGTON,D.C.', 'UNITEDSTATES|ETHNICGROUP|AFRICANAMERICANS'}"
83414,"{'ALBANY,OREGON|COUNTRY|UNITEDSTATES', 'ALBANY,OREGON|ISPARTOF|BENTONCOUNTY,OREGON', 'UNITEDSTATES|CAPITAL|WASHINGTON,D.C.', 'UNITEDSTATES|ETHNICGROUP|AFRICANAMERICANS'}"
83416,"{'ALBANY,OREGON|COUNTRY|UNITEDSTATES', 'ALBANY,OREGON|ISPARTOF|BENTONCOUNTY,OREGON', 'UNITEDSTATES|CAPITAL|WASHINGTON,D.C.', 'UNITEDSTATES|ETHNICGROUP|AFRICANAMERICANS'}"
83418,"{'NEWJERSEY|COUNTRY|UNITEDSTATES', 'UNITEDSTATES|LARGESTCITY|NEWYORKCITY', 'UNITEDSTATES|CAPITAL|WASHINGTON,D.C.', 'ATLANTICCITY,NEWJERSEY|ISPARTOF|NEWJERSEY'}"
83420,"{'NEWJERSEY|COUNTRY|UNITEDSTATES', 'UNITEDSTATES|LARGESTCITY|NEWYORKCITY', 'UNITEDSTATES|CAPITAL|WASHINGTON,D.C.', 'ATLANTICCITY,NEWJERSEY|ISPARTOF|NEWJERSEY'}"
83422,"{'NEWJERSEY|COUNTRY|UNITEDSTATES', 'UNITEDSTATES|LARGESTCITY|NEWYORKCITY', 'UNITEDSTATES|CAPITAL|WASHINGTON,D.C.', 'ATLANTICCITY,NEWJERSEY|ISPARTOF|NEWJERSEY'}"
83424,"{'ANGOLA,INDIANA|ISPARTOF|INDIANA', 'UNITEDSTATES|DEMONYM|AMERICANS', 'ANGOLA,INDIANA|COUNTRY|UNITEDSTATES', 'UNITEDSTATES|ETHNICGROUP|AFRICANAMERICANS'}"
83426,"{'ANGOLA,INDIANA|ISPARTOF|INDIANA', 'UNITEDSTATES|DEMONYM|AMERICANS', 'ANGOLA,INDIANA|COUNTRY|UNITEDSTATES', 'UNITEDSTATES|ETHNICGROUP|AFRICANAMERICANS'}"
83428,"{'ANGOLA,INDIANA|ISPARTOF|INDIANA', 'UNITEDSTATES|DEMONYM|AMERICANS', 'ANGOLA,INDIANA|COUNTRY|UNITEDSTATES', 'UNITEDSTATES|ETHNICGROUP|AFRICANAMERICANS'}"
83430,"{'ANGOLA,INDIANA|ISPARTOF|STEUBENCOUNTY,INDIANA', 'ANGOLA,INDIANA|COUNTRY|UNITEDSTATES', 'UNITEDSTATES|DEMONYM|AMERICANS', 'UNITEDSTATES|ETHNICGROUP|AFRICANAMERICANS'}"
83432,"{'ANGOLA,INDIANA|ISPARTOF|STEUBENCOUNTY,INDIANA', 'ANGOLA,INDIANA|COUNTRY|UNITEDSTATES', 'UNITEDSTATES|DEMONYM|AMERICANS', 'UNITEDSTATES|ETHNICGROUP|AFRICANAMERICANS'}"
83434,"{'ANGOLA,INDIANA|ISPARTOF|STEUBENCOUNTY,INDIANA', 'ANGOLA,INDIANA|COUNTRY|UNITEDSTATES', 'UNITEDSTATES|DEMONYM|AMERICANS', 'UNITEDSTATES|ETHNICGROUP|AFRICANAMERICANS'}"
83436,"{'ALBANY,OREGON|COUNTRY|UNITEDSTATES', 'ALBANY,OREGON|ISPARTOF|LINNCOUNTY,OREGON', 'UNITEDSTATES|CAPITAL|WASHINGTON,D.C.', 'UNITEDSTATES|ETHNICGROUP|ASIANAMERICANS'}"
83438,"{'ALBANY,OREGON|COUNTRY|UNITEDSTATES', 'ALBANY,OREGON|ISPARTOF|LINNCOUNTY,OREGON', 'UNITEDSTATES|CAPITAL|WASHINGTON,D.C.', 'UNITEDSTATES|ETHNICGROUP|ASIANAMERICANS'}"
83440,"{'ALBANY,OREGON|COUNTRY|UNITEDSTATES', 'ALBANY,OREGON|ISPARTOF|LINNCOUNTY,OREGON', 'UNITEDSTATES|CAPITAL|WASHINGTON,D.C.', 'UNITEDSTATES|ETHNICGROUP|ASIANAMERICANS'}"
83442,"{'AKRON,OHIO|COUNTRY|UNITEDSTATES', 'UNITEDSTATES|LANGUAGE|ENGLISHLANGUAGE', 'AKRON,OHIO|ISPARTOF|SUMMITCOUNTY,OHIO', 'UNITEDSTATES|ETHNICGROUP|ASIANAMERICANS'}"
83444,"{'AKRON,OHIO|COUNTRY|UNITEDSTATES', 'UNITEDSTATES|LANGUAGE|ENGLISHLANGUAGE', 'AKRON,OHIO|ISPARTOF|SUMMITCOUNTY,OHIO', 'UNITEDSTATES|ETHNICGROUP|ASIANAMERICANS'}"
83446,"{'AKRON,OHIO|COUNTRY|UNITEDSTATES', 'UNITEDSTATES|LANGUAGE|ENGLISHLANGUAGE', 'AKRON,OHIO|ISPARTOF|SUMMITCOUNTY,OHIO', 'UNITEDSTATES|ETHNICGROUP|ASIANAMERICANS'}"
83448,"{'LEECOUNTY,ALABAMA|STATE|ALABAMA', 'ALABAMA|COUNTRY|UNITEDSTATES', 'AUBURN,ALABAMA|ISPARTOF|LEECOUNTY,ALABAMA', 'UNITEDSTATES|ETHNICGROUP|NATIVEAMERICANSINTHEUNITEDSTATES'}"
83450,"{'LEECOUNTY,ALABAMA|STATE|ALABAMA', 'ALABAMA|COUNTRY|UNITEDSTATES', 'AUBURN,ALABAMA|ISPARTOF|LEECOUNTY,ALABAMA', 'UNITEDSTATES|ETHNICGROUP|NATIVEAMERICANSINTHEUNITEDSTATES'}"
83452,"{'LEECOUNTY,ALABAMA|STATE|ALABAMA', 'ALABAMA|COUNTRY|UNITEDSTATES', 'AUBURN,ALABAMA|ISPARTOF|LEECOUNTY,ALABAMA', 'UNITEDSTATES|ETHNICGROUP|NATIVEAMERICANSINTHEUNITEDSTATES'}"
83454,"{'LEECOUNTY,ALABAMA|STATE|ALABAMA', 'AUBURN,ALABAMA|COUNTRY|UNITEDSTATES', 'AUBURN,ALABAMA|ISPARTOF|LEECOUNTY,ALABAMA', 'UNITEDSTATES|ETHNICGROUP|NATIVEAMERICANSINTHEUNITEDSTATES'}"
83456,"{'LEECOUNTY,ALABAMA|STATE|ALABAMA', 'AUBURN,ALABAMA|COUNTRY|UNITEDSTATES', 'AUBURN,ALABAMA|ISPARTOF|LEECOUNTY,ALABAMA', 'UNITEDSTATES|ETHNICGROUP|NATIVEAMERICANSINTHEUNITEDSTATES'}"
