,sd
47912,"{'BANDEJAPAISA|COUNTRY|COLOMBIANCUISINE', 'BANDEJAPAISA|INGREDIENT|HOGAO', 'BANDEJAPAISA|MAININGREDIENTS|REDBEANS,PORKBELLY,WHITERICE,GROUNDMEAT,CHICHARON,FRIEDEGG,PLANTAIN(PATACONES),CHORIZO,AREPA,HOGAOSAUCE,BLACKPUDDING(MORCILLA),AVOCADOANDLEMON', 'BANDEJAPAISA|REGION|PAISAREGION'}"
47914,"{'BANDEJAPAISA|COUNTRY|COLOMBIANCUISINE', 'BANDEJAPAISA|INGREDIENT|HOGAO', 'BANDEJAPAISA|MAININGREDIENTS|REDBEANS,PORKBELLY,WHITERICE,GROUNDMEAT,CHICHARON,FRIEDEGG,PLANTAIN(PATACONES),CHORIZO,AREPA,HOGAOSAUCE,BLACKPUDDING(MORCILLA),AVOCADOANDLEMON', 'BANDEJAPAISA|REGION|PAISAREGION'}"
47916,"{'BANDEJAPAISA|COUNTRY|COLOMBIANCUISINE', 'BANDEJAPAISA|INGREDIENT|HOGAO', 'BANDEJAPAISA|MAININGREDIENTS|REDBEANS,PORKBELLY,WHITERICE,GROUNDMEAT,CHICHARON,FRIEDEGG,PLANTAIN(PATACONES),CHORIZO,AREPA,HOGAOSAUCE,BLACKPUDDING(MORCILLA),AVOCADOANDLEMON', 'BANDEJAPAISA|REGION|PAISAREGION'}"
47998,"{'ALFREDGARTHJONES|BIRTHPLACE|MANCHESTER', 'ALFREDGARTHJONES|DEATHPLACE|SIDCUP', 'MANCHESTER|LEADERNAME|LABOURPARTY(UK)'}"
48000,"{'ALFREDGARTHJONES|BIRTHPLACE|MANCHESTER', 'ALFREDGARTHJONES|DEATHPLACE|SIDCUP', 'MANCHESTER|LEADERNAME|LABOURPARTY(UK)'}"
48002,"{'ALFREDGARTHJONES|BIRTHPLACE|MANCHESTER', 'ALFREDGARTHJONES|DEATHPLACE|SIDCUP', 'MANCHESTER|LEADERNAME|LABOURPARTY(UK)'}"
48010,"{'103HERA|EPOCH|2011-08-27', '103HERA|APOAPSIS|437170000.0(KILOMETRES)', '103HERA|ORBITALPERIOD|1622.213(DAYS)'}"
48012,"{'103HERA|EPOCH|2011-08-27', '103HERA|APOAPSIS|437170000.0(KILOMETRES)', '103HERA|ORBITALPERIOD|1622.213(DAYS)'}"
48014,"{'103HERA|EPOCH|2011-08-27', '103HERA|APOAPSIS|437170000.0(KILOMETRES)', '103HERA|ORBITALPERIOD|1622.213(DAYS)'}"
48028,{'1634:THERAMREBELLION|MEDIATYPE|PRINT'}
48158,"{'ATLANTA|AREAOFLAND|344.9(SQUAREKILOMETRES)', 'ATLANTA|ISPARTOF|DEKALBCOUNTY,GEORGIA', 'ATLANTA|AREATOTAL|347.1(SQUAREKILOMETRES)', 'ATLANTA|POPULATIONDENSITY|1299.0(INHABITANTSPERSQUAREKILOMETRE)', 'ATLANTA|AREACODE|404'}"
48160,"{'ATLANTA|AREAOFLAND|344.9(SQUAREKILOMETRES)', 'ATLANTA|ISPARTOF|DEKALBCOUNTY,GEORGIA', 'ATLANTA|AREATOTAL|347.1(SQUAREKILOMETRES)', 'ATLANTA|POPULATIONDENSITY|1299.0(INHABITANTSPERSQUAREKILOMETRE)', 'ATLANTA|AREACODE|404'}"
48238,"{'ALBENNIEJONES|BIRTHPLACE|UNITEDSTATES', 'ALBENNIEJONES|BIRTHPLACE|ERRATA,MISSISSIPPI', 'UNITEDSTATES|ETHNICGROUP|AFRICANAMERICANS'}"
48240,"{'ALBENNIEJONES|BIRTHPLACE|UNITEDSTATES', 'ALBENNIEJONES|BIRTHPLACE|ERRATA,MISSISSIPPI', 'UNITEDSTATES|ETHNICGROUP|AFRICANAMERICANS'}"
48242,"{'ALBENNIEJONES|BIRTHPLACE|UNITEDSTATES', 'ALBENNIEJONES|BIRTHPLACE|ERRATA,MISSISSIPPI', 'UNITEDSTATES|ETHNICGROUP|AFRICANAMERICANS'}"
48302,"{'ARLINGTON,TEXAS|ISPARTOF|TEXAS', 'TEXAS|LANGUAGE|SPANISHLANGUAGE', 'TEXAS|COUNTRY|UNITEDSTATES'}"
48304,"{'ARLINGTON,TEXAS|ISPARTOF|TEXAS', 'TEXAS|LANGUAGE|SPANISHLANGUAGE', 'TEXAS|COUNTRY|UNITEDSTATES'}"
48306,"{'ARLINGTON,TEXAS|ISPARTOF|TEXAS', 'TEXAS|LANGUAGE|SPANISHLANGUAGE', 'TEXAS|COUNTRY|UNITEDSTATES'}"
48314,"{'BBC|PRODUCT|BBCRADIO', 'BBC|KEYPERSON|RONAFAIRHEAD', 'BBC|LOCATIONCITY|BROADCASTINGHOUSE', 'BANANAMAN|BROADCASTEDBY|BBC'}"
48316,"{'BBC|PRODUCT|BBCRADIO', 'BBC|KEYPERSON|RONAFAIRHEAD', 'BBC|LOCATIONCITY|BROADCASTINGHOUSE', 'BANANAMAN|BROADCASTEDBY|BBC'}"
48318,"{'BBC|PRODUCT|BBCRADIO', 'BBC|KEYPERSON|RONAFAIRHEAD', 'BBC|LOCATIONCITY|BROADCASTINGHOUSE', 'BANANAMAN|BROADCASTEDBY|BBC'}"
48354,"{'JAMESCRAIGWATSON|DEATHCAUSE|PERITONITIS', 'JAMESCRAIGWATSON|STATEOFORIGIN|CANADA', 'JAMESCRAIGWATSON|ALMAMATER|UNIVERSITYOFMICHIGAN', 'JAMESCRAIGWATSON|DEATHPLACE|MADISON,WISCONSIN', '101HELENA|DISCOVERER|JAMESCRAIGWATSON'}"
48356,"{'JAMESCRAIGWATSON|DEATHCAUSE|PERITONITIS', 'JAMESCRAIGWATSON|STATEOFORIGIN|CANADA', 'JAMESCRAIGWATSON|ALMAMATER|UNIVERSITYOFMICHIGAN', 'JAMESCRAIGWATSON|DEATHPLACE|MADISON,WISCONSIN', '101HELENA|DISCOVERER|JAMESCRAIGWATSON'}"
48358,"{'JAMESCRAIGWATSON|DEATHCAUSE|PERITONITIS', 'JAMESCRAIGWATSON|STATEOFORIGIN|CANADA', 'JAMESCRAIGWATSON|ALMAMATER|UNIVERSITYOFMICHIGAN', 'JAMESCRAIGWATSON|DEATHPLACE|MADISON,WISCONSIN', '101HELENA|DISCOVERER|JAMESCRAIGWATSON'}"
48376,"{'ATLANTICCITYINTERNATIONALAIRPORT|LOCATION|EGGHARBORTOWNSHIP,NEWJERSEY', 'EGGHARBORTOWNSHIP,NEWJERSEY|ISPARTOF|ATLANTICCOUNTY,NEWJERSEY', 'EGGHARBORTOWNSHIP,NEWJERSEY|COUNTRY|UNITEDSTATES', 'EGGHARBORTOWNSHIP,NEWJERSEY|ISPARTOF|NEWJERSEY', 'ATLANTICCITYINTERNATIONALAIRPORT|ICAOLOCATIONIDENTIFIER|KACY'}"
48378,"{'ATLANTICCITYINTERNATIONALAIRPORT|LOCATION|EGGHARBORTOWNSHIP,NEWJERSEY', 'EGGHARBORTOWNSHIP,NEWJERSEY|ISPARTOF|ATLANTICCOUNTY,NEWJERSEY', 'EGGHARBORTOWNSHIP,NEWJERSEY|COUNTRY|UNITEDSTATES', 'EGGHARBORTOWNSHIP,NEWJERSEY|ISPARTOF|NEWJERSEY', 'ATLANTICCITYINTERNATIONALAIRPORT|ICAOLOCATIONIDENTIFIER|KACY'}"
48448,"{'AZERBAIJAN|LEADERTITLE|PRIMEMINISTEROFAZERBAIJAN', 'AZERBAIJAN|LEADERNAME|ARTURRASIZADE', 'AZERBAIJAN|CAPITAL|BAKU', 'BAKUTURKISHMARTYRSMEMORIAL|LOCATION|AZERBAIJAN'}"
48450,"{'AZERBAIJAN|LEADERTITLE|PRIMEMINISTEROFAZERBAIJAN', 'AZERBAIJAN|LEADERNAME|ARTURRASIZADE', 'AZERBAIJAN|CAPITAL|BAKU', 'BAKUTURKISHMARTYRSMEMORIAL|LOCATION|AZERBAIJAN'}"
48452,"{'AZERBAIJAN|LEADERTITLE|PRIMEMINISTEROFAZERBAIJAN', 'AZERBAIJAN|LEADERNAME|ARTURRASIZADE', 'AZERBAIJAN|CAPITAL|BAKU', 'BAKUTURKISHMARTYRSMEMORIAL|LOCATION|AZERBAIJAN'}"
48460,{'MEXICO|LEADERNAME|SILVANOAUREOLESCONEJO'}
48462,{'MEXICO|LEADERNAME|SILVANOAUREOLESCONEJO'}
48464,{'MEXICO|LEADERNAME|SILVANOAUREOLESCONEJO'}
48484,"{'UNITEDSTATES|ETHNICGROUP|NATIVEAMERICANSINTHEUNITEDSTATES', 'UNITEDSTATES|DEMONYM|AMERICANS', 'ANGOLA,INDIANA|COUNTRY|UNITEDSTATES', 'ANGOLA,INDIANA|ISPARTOF|INDIANA'}"
48486,"{'UNITEDSTATES|ETHNICGROUP|NATIVEAMERICANSINTHEUNITEDSTATES', 'UNITEDSTATES|DEMONYM|AMERICANS', 'ANGOLA,INDIANA|COUNTRY|UNITEDSTATES', 'ANGOLA,INDIANA|ISPARTOF|INDIANA'}"
48488,"{'UNITEDSTATES|ETHNICGROUP|NATIVEAMERICANSINTHEUNITEDSTATES', 'UNITEDSTATES|DEMONYM|AMERICANS', 'ANGOLA,INDIANA|COUNTRY|UNITEDSTATES', 'ANGOLA,INDIANA|ISPARTOF|INDIANA'}"
48496,"{'ALLENFORREST|BACKGROUND|SOLOSINGER', 'ALLENFORREST|GENRE|HIPHOPMUSIC'}"
48498,"{'ALLENFORREST|BACKGROUND|SOLOSINGER', 'ALLENFORREST|GENRE|HIPHOPMUSIC'}"
48500,"{'ALLENFORREST|BACKGROUND|SOLOSINGER', 'ALLENFORREST|GENRE|HIPHOPMUSIC'}"
48604,{'ALEXDAY|GENRE|SYNTHPOP'}
48606,{'ALEXDAY|GENRE|SYNTHPOP'}
48608,{'ALEXDAY|GENRE|SYNTHPOP'}
48614,"{'ABRAHAMA.RIBICOFF|NATIONALITY|UNITEDSTATES', 'ABRAHAMA.RIBICOFF|BIRTHPLACE|NEWBRITAIN,CONNECTICUT', 'ABRAHAMA.RIBICOFF|SPOUSE|CASEYRIBICOFF', 'UNITEDSTATES|ETHNICGROUP|NATIVEAMERICANSINTHEUNITEDSTATES'}"
48616,"{'ABRAHAMA.RIBICOFF|NATIONALITY|UNITEDSTATES', 'ABRAHAMA.RIBICOFF|BIRTHPLACE|NEWBRITAIN,CONNECTICUT', 'ABRAHAMA.RIBICOFF|SPOUSE|CASEYRIBICOFF', 'UNITEDSTATES|ETHNICGROUP|NATIVEAMERICANSINTHEUNITEDSTATES'}"
48618,"{'ABRAHAMA.RIBICOFF|NATIONALITY|UNITEDSTATES', 'ABRAHAMA.RIBICOFF|BIRTHPLACE|NEWBRITAIN,CONNECTICUT', 'ABRAHAMA.RIBICOFF|SPOUSE|CASEYRIBICOFF', 'UNITEDSTATES|ETHNICGROUP|NATIVEAMERICANSINTHEUNITEDSTATES'}"
48628,"{'A-ROSALUNA|LENGTH|125800.0(MILLIMETRES)', 'A-ROSALUNA|TOPSPEED|24.0', 'A-ROSALUNA|SHIPDISPLACEMENT|1850.0(TONNES)'}"
48630,"{'A-ROSALUNA|LENGTH|125800.0(MILLIMETRES)', 'A-ROSALUNA|TOPSPEED|24.0', 'A-ROSALUNA|SHIPDISPLACEMENT|1850.0(TONNES)'}"
48632,"{'A-ROSALUNA|LENGTH|125800.0(MILLIMETRES)', 'A-ROSALUNA|TOPSPEED|24.0', 'A-ROSALUNA|SHIPDISPLACEMENT|1850.0(TONNES)'}"
48660,"{'UNITEDSTATES|ETHNICGROUP|NATIVEAMERICANSINTHEUNITEDSTATES', 'UNITEDSTATES|CAPITAL|WASHINGTON,D.C.', 'ALVX-1|COUNTRYORIGIN|UNITEDSTATES'}"
48662,"{'UNITEDSTATES|ETHNICGROUP|NATIVEAMERICANSINTHEUNITEDSTATES', 'UNITEDSTATES|CAPITAL|WASHINGTON,D.C.', 'ALVX-1|COUNTRYORIGIN|UNITEDSTATES'}"
48726,"{'ASTONMARTINV8|SUCCESSOR|ASTONMARTINVIRAGE', 'ASTONMARTINV8|RELATEDMEANOFTRANSPORTATION|ASTONMARTINDBS'}"
48728,"{'ASTONMARTINV8|SUCCESSOR|ASTONMARTINVIRAGE', 'ASTONMARTINV8|RELATEDMEANOFTRANSPORTATION|ASTONMARTINDBS'}"
48730,"{'ASTONMARTINV8|SUCCESSOR|ASTONMARTINVIRAGE', 'ASTONMARTINV8|RELATEDMEANOFTRANSPORTATION|ASTONMARTINDBS'}"
48750,"{'PAULOSOUSA|CLUB|INTERMILAN', 'ACFFIORENTINA|MANAGER|PAULOSOUSA', 'PAULOSOUSA|CLUB|MACCABITELAVIVF.C.', 'PAULOSOUSA|CLUB|JUVENTUSF.C.'}"
48752,"{'PAULOSOUSA|CLUB|INTERMILAN', 'ACFFIORENTINA|MANAGER|PAULOSOUSA', 'PAULOSOUSA|CLUB|MACCABITELAVIVF.C.', 'PAULOSOUSA|CLUB|JUVENTUSF.C.'}"
48754,"{'PAULOSOUSA|CLUB|INTERMILAN', 'ACFFIORENTINA|MANAGER|PAULOSOUSA', 'PAULOSOUSA|CLUB|MACCABITELAVIVF.C.', 'PAULOSOUSA|CLUB|JUVENTUSF.C.'}"
48774,{'ANTWERPINTERNATIONALAIRPORT|ELEVATIONABOVETHESEALEVEL(INMETRES)|12.0'}
48776,{'ANTWERPINTERNATIONALAIRPORT|ELEVATIONABOVETHESEALEVEL(INMETRES)|12.0'}
48820,"{'ALBUQUERQUE,NEWMEXICO|ISPARTOF|NEWMEXICO', 'UNITEDSTATES|LEADERTITLE|PRESIDENTOFTHEUNITEDSTATES', 'ALBUQUERQUE,NEWMEXICO|COUNTRY|UNITEDSTATES', 'UNITEDSTATES|LANGUAGE|ENGLISHLANGUAGE', 'UNITEDSTATES|LEADER|BARACKOBAMA'}"
48822,"{'ALBUQUERQUE,NEWMEXICO|ISPARTOF|NEWMEXICO', 'UNITEDSTATES|LEADERTITLE|PRESIDENTOFTHEUNITEDSTATES', 'ALBUQUERQUE,NEWMEXICO|COUNTRY|UNITEDSTATES', 'UNITEDSTATES|LANGUAGE|ENGLISHLANGUAGE', 'UNITEDSTATES|LEADER|BARACKOBAMA'}"
48826,{'ARAVEINTICINCODEMAYO(V-2)|STATUS|SOLDTOTHENETHERLANDS1APRIL1948'}
48828,{'ARAVEINTICINCODEMAYO(V-2)|STATUS|SOLDTOTHENETHERLANDS1APRIL1948'}
48830,{'ARAVEINTICINCODEMAYO(V-2)|STATUS|SOLDTOTHENETHERLANDS1APRIL1948'}
48956,"{'ATLANTICCITY,NEWJERSEY|ISPARTOF|NEWJERSEY', 'NEWJERSEY|COUNTRY|UNITEDSTATES', 'UNITEDSTATES|CAPITAL|WASHINGTON,D.C.'}"
48958,"{'ATLANTICCITY,NEWJERSEY|ISPARTOF|NEWJERSEY', 'NEWJERSEY|COUNTRY|UNITEDSTATES', 'UNITEDSTATES|CAPITAL|WASHINGTON,D.C.'}"
48960,"{'ATLANTICCITY,NEWJERSEY|ISPARTOF|NEWJERSEY', 'NEWJERSEY|COUNTRY|UNITEDSTATES', 'UNITEDSTATES|CAPITAL|WASHINGTON,D.C.'}"
48962,"{'ALBERTB.WHITE|BIRTHDATE|1856-09-22', 'ALBERTB.WHITE|DEATHYEAR|1941'}"
48964,"{'ALBERTB.WHITE|BIRTHDATE|1856-09-22', 'ALBERTB.WHITE|DEATHYEAR|1941'}"
48966,"{'ALBERTB.WHITE|BIRTHDATE|1856-09-22', 'ALBERTB.WHITE|DEATHYEAR|1941'}"
48978,"{'AARONTURNER|GENRE|AMBIENTMUSIC', 'AARONTURNER|ASSOCIATEDBAND/ASSOCIATEDMUSICALARTIST|MAMIFFER', 'AARONTURNER|ASSOCIATEDBAND/ASSOCIATEDMUSICALARTIST|TWILIGHT(BAND)'}"
48980,"{'AARONTURNER|GENRE|AMBIENTMUSIC', 'AARONTURNER|ASSOCIATEDBAND/ASSOCIATEDMUSICALARTIST|MAMIFFER', 'AARONTURNER|ASSOCIATEDBAND/ASSOCIATEDMUSICALARTIST|TWILIGHT(BAND)'}"
48982,"{'AARONTURNER|GENRE|AMBIENTMUSIC', 'AARONTURNER|ASSOCIATEDBAND/ASSOCIATEDMUSICALARTIST|MAMIFFER', 'AARONTURNER|ASSOCIATEDBAND/ASSOCIATEDMUSICALARTIST|TWILIGHT(BAND)'}"
48984,"{'AUDIA1|MANUFACTURER|AUDI', 'AUDI|DIVISION|AUDIE-TRON'}"
48986,"{'AUDIA1|MANUFACTURER|AUDI', 'AUDI|DIVISION|AUDIE-TRON'}"
48988,"{'AUDIA1|MANUFACTURER|AUDI', 'AUDI|DIVISION|AUDIE-TRON'}"
48996,"{'103HERA|DISCOVERED|1868-09-07', '103HERA|DISCOVERER|JAMESCRAIGWATSON', 'JAMESCRAIGWATSON|NATIONALITY|CANADA', 'JAMESCRAIGWATSON|ALMAMATER|UNIVERSITYOFMICHIGAN', 'JAMESCRAIGWATSON|DEATHPLACE|MADISON,WISCONSIN'}"
48998,"{'103HERA|DISCOVERED|1868-09-07', '103HERA|DISCOVERER|JAMESCRAIGWATSON', 'JAMESCRAIGWATSON|NATIONALITY|CANADA', 'JAMESCRAIGWATSON|ALMAMATER|UNIVERSITYOFMICHIGAN', 'JAMESCRAIGWATSON|DEATHPLACE|MADISON,WISCONSIN'}"
49034,"{'ALBERTJENNINGSFOUNTAIN|BIRTHPLACE|STATENISLAND', 'ALBERTJENNINGSFOUNTAIN|DATEOFDEATH|1896-02-01', 'ALBERTJENNINGSFOUNTAIN|DEATHPLACE|DONAANACOUNTY,NEWMEXICO', 'ALBERTJENNINGSFOUNTAIN|DEATHPLACE|NEWMEXICOTERRITORY', 'ALBERTJENNINGSFOUNTAIN|BIRTHPLACE|NEWYORKCITY'}"
49036,"{'ALBERTJENNINGSFOUNTAIN|BIRTHPLACE|STATENISLAND', 'ALBERTJENNINGSFOUNTAIN|DATEOFDEATH|1896-02-01', 'ALBERTJENNINGSFOUNTAIN|DEATHPLACE|DONAANACOUNTY,NEWMEXICO', 'ALBERTJENNINGSFOUNTAIN|DEATHPLACE|NEWMEXICOTERRITORY', 'ALBERTJENNINGSFOUNTAIN|BIRTHPLACE|NEWYORKCITY'}"
49038,"{'ALBERTJENNINGSFOUNTAIN|BIRTHPLACE|STATENISLAND', 'ALBERTJENNINGSFOUNTAIN|DATEOFDEATH|1896-02-01', 'ALBERTJENNINGSFOUNTAIN|DEATHPLACE|DONAANACOUNTY,NEWMEXICO', 'ALBERTJENNINGSFOUNTAIN|DEATHPLACE|NEWMEXICOTERRITORY', 'ALBERTJENNINGSFOUNTAIN|BIRTHPLACE|NEWYORKCITY'}"
49102,"{'ARROSNEGRE|INGREDIENT|CUTTLEFISH', 'ARROSNEGRE|REGION|CATALONIA', 'ARROSNEGRE|MAININGREDIENTS|WHITERICE,CUTTLEFISHORSQUID,CEPHALOPODINK,CUBANELLEPEPPERS', 'ARROSNEGRE|COUNTRY|SPAIN'}"
49104,"{'ARROSNEGRE|INGREDIENT|CUTTLEFISH', 'ARROSNEGRE|REGION|CATALONIA', 'ARROSNEGRE|MAININGREDIENTS|WHITERICE,CUTTLEFISHORSQUID,CEPHALOPODINK,CUBANELLEPEPPERS', 'ARROSNEGRE|COUNTRY|SPAIN'}"
49106,"{'ARROSNEGRE|INGREDIENT|CUTTLEFISH', 'ARROSNEGRE|REGION|CATALONIA', 'ARROSNEGRE|MAININGREDIENTS|WHITERICE,CUTTLEFISHORSQUID,CEPHALOPODINK,CUBANELLEPEPPERS', 'ARROSNEGRE|COUNTRY|SPAIN'}"
49130,{'AZALPFK|LEAGUE|AZERBAIJANPREMIERLEAGUE'}
49132,{'AZALPFK|LEAGUE|AZERBAIJANPREMIERLEAGUE'}
49134,{'AZALPFK|LEAGUE|AZERBAIJANPREMIERLEAGUE'}
49170,"{'AMDAVADNIGUFA|LOCATION|GUJARAT', 'AMDAVADNIGUFA|ADDRESS|LALBHAIDALPATBHAICAMPUS,NEARCEPTUNIVERSITY,OPP.GUJARATUNIVERSITY,UNIVERSITYROAD'}"
49172,"{'AMDAVADNIGUFA|LOCATION|GUJARAT', 'AMDAVADNIGUFA|ADDRESS|LALBHAIDALPATBHAICAMPUS,NEARCEPTUNIVERSITY,OPP.GUJARATUNIVERSITY,UNIVERSITYROAD'}"
49262,"{'103COLMOREROW|LOCATION|COLMOREROW', '103COLMOREROW|ARCHITECT|JOHNMADIN', 'JOHNMADIN|BIRTHPLACE|BIRMINGHAM'}"
49264,"{'103COLMOREROW|LOCATION|COLMOREROW', '103COLMOREROW|ARCHITECT|JOHNMADIN', 'JOHNMADIN|BIRTHPLACE|BIRMINGHAM'}"
49266,"{'103COLMOREROW|LOCATION|COLMOREROW', '103COLMOREROW|ARCHITECT|JOHNMADIN', 'JOHNMADIN|BIRTHPLACE|BIRMINGHAM'}"
49280,{'MOTHERWELLF.C.|GROUND|FIRPARK'}
49282,{'MOTHERWELLF.C.|GROUND|FIRPARK'}
49284,{'MOTHERWELLF.C.|GROUND|FIRPARK'}
49294,"{'A.EDIMITRAEFXEINOUPOLIS|NUMBEROFMEMBERS|1500', 'A.EDIMITRAEFXEINOUPOLIS|LEAGUE|AEPSTH2NDGROUP', 'A.EDIMITRAEFXEINOUPOLIS|GROUND|EFXEINOUPOLI', 'A.EDIMITRAEFXEINOUPOLIS|CHAIRMAN|ANTONISMILIONIS'}"
49296,"{'A.EDIMITRAEFXEINOUPOLIS|NUMBEROFMEMBERS|1500', 'A.EDIMITRAEFXEINOUPOLIS|LEAGUE|AEPSTH2NDGROUP', 'A.EDIMITRAEFXEINOUPOLIS|GROUND|EFXEINOUPOLI', 'A.EDIMITRAEFXEINOUPOLIS|CHAIRMAN|ANTONISMILIONIS'}"
49298,"{'ANTIOCH,CALIFORNIA|AREATOTAL|75.324(SQUAREKILOMETRES)', 'ANTIOCH,CALIFORNIA|ELEVATIONABOVETHESEALEVEL|13.0'}"
49300,"{'ANTIOCH,CALIFORNIA|AREATOTAL|75.324(SQUAREKILOMETRES)', 'ANTIOCH,CALIFORNIA|ELEVATIONABOVETHESEALEVEL|13.0'}"
49342,"{'NEWYORKCITY|ISPARTOF|BROOKLYN', 'NEWYORKCITY|ISPARTOF|MANHATTAN', 'MANHATTAN|LEADERNAME|CYRUSVANCE,JR.', 'ASSERLEVYPUBLICBATHS|LOCATION|NEWYORKCITY'}"
49344,"{'NEWYORKCITY|ISPARTOF|BROOKLYN', 'NEWYORKCITY|ISPARTOF|MANHATTAN', 'MANHATTAN|LEADERNAME|CYRUSVANCE,JR.', 'ASSERLEVYPUBLICBATHS|LOCATION|NEWYORKCITY'}"
49346,"{'NEWYORKCITY|ISPARTOF|BROOKLYN', 'NEWYORKCITY|ISPARTOF|MANHATTAN', 'MANHATTAN|LEADERNAME|CYRUSVANCE,JR.', 'ASSERLEVYPUBLICBATHS|LOCATION|NEWYORKCITY'}"
49382,{'ARIANE5|LAUNCHSITE|GUIANASPACECENTRE'}
49384,{'ARIANE5|LAUNCHSITE|GUIANASPACECENTRE'}
49386,{'ARIANE5|LAUNCHSITE|GUIANASPACECENTRE'}
49442,"{'1097VICIA|EPOCH|2006-12-31', '1097VICIA|PERIAPSIS|279142000000.0'}"
49444,"{'1097VICIA|EPOCH|2006-12-31', '1097VICIA|PERIAPSIS|279142000000.0'}"
49446,"{'1097VICIA|EPOCH|2006-12-31', '1097VICIA|PERIAPSIS|279142000000.0'}"
49710,"{'ANDERSON,INDIANA|ISPARTOF|INDIANA', 'ANDERSON,INDIANA|ISPARTOF|ADAMS,FALLCREEK,LAFAYETTE,RICHLAND,UNION', 'INDIANA|COUNTRY|UNITEDSTATES', 'INDIANA|CAPITAL|INDIANAPOLIS'}"
49712,"{'ANDERSON,INDIANA|ISPARTOF|INDIANA', 'ANDERSON,INDIANA|ISPARTOF|ADAMS,FALLCREEK,LAFAYETTE,RICHLAND,UNION', 'INDIANA|COUNTRY|UNITEDSTATES', 'INDIANA|CAPITAL|INDIANAPOLIS'}"
49714,"{'ANDERSON,INDIANA|ISPARTOF|INDIANA', 'ANDERSON,INDIANA|ISPARTOF|ADAMS,FALLCREEK,LAFAYETTE,RICHLAND,UNION', 'INDIANA|COUNTRY|UNITEDSTATES', 'INDIANA|CAPITAL|INDIANAPOLIS'}"
49830,"{'ALEXPLANTE|CLUB|ANYANGHALLA', 'ALEXPLANTE|HEIGHT|1.9304', 'ALEXPLANTE|BIRTHPLACE|CANADA'}"
49832,"{'ALEXPLANTE|CLUB|ANYANGHALLA', 'ALEXPLANTE|HEIGHT|1.9304', 'ALEXPLANTE|BIRTHPLACE|CANADA'}"
49834,"{'ALEXPLANTE|CLUB|ANYANGHALLA', 'ALEXPLANTE|HEIGHT|1.9304', 'ALEXPLANTE|BIRTHPLACE|CANADA'}"
49860,{'THESECRETSCRIPTURE|PUBLISHER|FABERANDFABER'}
49862,{'THESECRETSCRIPTURE|PUBLISHER|FABERANDFABER'}
49864,{'THESECRETSCRIPTURE|PUBLISHER|FABERANDFABER'}
50218,"{'ANDERSOSBORNE|ASSOCIATEDBAND/ASSOCIATEDMUSICALARTIST|BILLYIUSO', 'ANDERSOSBORNE|ASSOCIATEDBAND/ASSOCIATEDMUSICALARTIST|TABBENOIT', 'ANDERSOSBORNE|ASSOCIATEDBAND/ASSOCIATEDMUSICALARTIST|KIRKJOSEPH'}"
50220,"{'ANDERSOSBORNE|ASSOCIATEDBAND/ASSOCIATEDMUSICALARTIST|BILLYIUSO', 'ANDERSOSBORNE|ASSOCIATEDBAND/ASSOCIATEDMUSICALARTIST|TABBENOIT', 'ANDERSOSBORNE|ASSOCIATEDBAND/ASSOCIATEDMUSICALARTIST|KIRKJOSEPH'}"
50222,"{'ANDERSOSBORNE|ASSOCIATEDBAND/ASSOCIATEDMUSICALARTIST|BILLYIUSO', 'ANDERSOSBORNE|ASSOCIATEDBAND/ASSOCIATEDMUSICALARTIST|TABBENOIT', 'ANDERSOSBORNE|ASSOCIATEDBAND/ASSOCIATEDMUSICALARTIST|KIRKJOSEPH'}"
50366,{'ALLIGATORRECORDS|LOCATION|CHICAGO'}
50368,{'ALLIGATORRECORDS|LOCATION|CHICAGO'}
50370,{'ALLIGATORRECORDS|LOCATION|CHICAGO'}
50372,"{'ALISONODONNELL|INSTRUMENT|VOICE,BODHRAN,PERCUSSION,AUTOHARP', 'JAZZ|DERIVATIVE|FUNK', 'ALISONODONNELL|GENRE|JAZZ'}"
50374,"{'ALISONODONNELL|INSTRUMENT|VOICE,BODHRAN,PERCUSSION,AUTOHARP', 'JAZZ|DERIVATIVE|FUNK', 'ALISONODONNELL|GENRE|JAZZ'}"
50376,"{'ALISONODONNELL|INSTRUMENT|VOICE,BODHRAN,PERCUSSION,AUTOHARP', 'JAZZ|DERIVATIVE|FUNK', 'ALISONODONNELL|GENRE|JAZZ'}"
50506,"{'BLOCKBUSTER(COMICSCHARACTER)|CREATOR|GARDNERFOX', 'BLOCKBUSTER(COMICSCHARACTER)|CREATOR|CARMINEINFANTINO', 'BLOCKBUSTER(COMICSCHARACTER)|ALTERNATIVENAME|MARKDESMOND'}"
50508,"{'BLOCKBUSTER(COMICSCHARACTER)|CREATOR|GARDNERFOX', 'BLOCKBUSTER(COMICSCHARACTER)|CREATOR|CARMINEINFANTINO', 'BLOCKBUSTER(COMICSCHARACTER)|ALTERNATIVENAME|MARKDESMOND'}"
50544,"{'110LYDIA|MASS|6.7(KILOGRAMS)', '110LYDIA|EPOCH|2006-12-31'}"
50546,"{'110LYDIA|MASS|6.7(KILOGRAMS)', '110LYDIA|EPOCH|2006-12-31'}"
50548,"{'110LYDIA|MASS|6.7(KILOGRAMS)', '110LYDIA|EPOCH|2006-12-31'}"
